Country,YearsCodePro,Employment,EdLevel,ConvertedCompYearly,OrgSize,Age
Pakistan,1.0,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7322.0,100 to 499 employees,18-24 years old
Austria,6.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30074.0,100 to 499 employees,25-34 years old
Turkey,6.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",91295.0,20 to 99 employees,35-44 years old
France,17.0,"Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",53703.0,Other,35-44 years old
United States of America,7.0,"Employed, full-time;Student, part-time",Some college/university study without earning a degree,110000.0,Other,25-34 years old
United Kingdom of Great Britain and Northern Ireland,18.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",161044.0,"1,000 to 4,999 employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,25.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",121018.0,20 to 99 employees,45-54 years old
United States of America,30.0,"Employed, full-time",Some college/university study without earning a degree,195000.0,"1,000 to 4,999 employees",45-54 years old
Bulgaria,20.0,"Employed, full-time",Some college/university study without earning a degree,44586.0,20 to 99 employees,35-44 years old
France,50.0,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",57999.0,100 to 499 employees,55-64 years old
United Kingdom of Great Britain and Northern Ireland,27.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",184712.0,"1,000 to 4,999 employees",45-54 years old
Greece,16.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",79481.0,20 to 99 employees,35-44 years old
Brazil,17.0,"Employed, full-time;Independent contractor, freelancer, or self-employed","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",170000.0,100 to 499 employees,35-44 years old
Germany,1.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29000.0,Other,25-34 years old
Italy,4.0,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,66592.0,100 to 499 employees,25-34 years old
Germany,30.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",85925.0,20 to 99 employees,55-64 years old
United Kingdom of Great Britain and Northern Ireland,15.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",124840.0,100 to 499 employees,35-44 years old
Ukraine,4.0,"Employed, full-time;Student, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",50000.0,"1,000 to 4,999 employees",18-24 years old
United States of America,11.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",210000.0,100 to 499 employees,25-34 years old
United States of America,23.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",85000.0,20 to 99 employees,35-44 years old
United States of America,18.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",160000.0,Other,35-44 years old
United States of America,23.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",110000.0,"1,000 to 4,999 employees",55-64 years old
United States of America,18.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",190000.0,"10,000 or more employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,17.0,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",161783.0,"10,000 or more employees",35-44 years old
United Kingdom of Great Britain and Northern Ireland,10.0,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",146496.0,20 to 99 employees,25-34 years old
Russian Federation,1.0,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12773.0,20 to 99 employees,18-24 years old
Germany,10.0,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",69814.0,Other,25-34 years old
United States of America,10.0,"Employed, full-time","Associate degree (A.A., A.S., etc.)",115000.0,100 to 499 employees,45-54 years old
South Africa,9.0,"Employed, full-time;Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,64570.0,100 to 499 employees,25-34 years old
