Country,EdLevel,Age,YearsCodePro,Salary
Ukraine,Master degree,25-34 years old,8.0,61256.0
Netherlands,Less than a Bachelors,25-34 years old,2.0,104413.0
Ukraine,Bachelor degree,35-44 years old,4.0,36197.0
Ukraine,Post grad,35-44 years old,22.0,72000.0
Ukraine,Bachelor degree,25-34 years old,9.0,70000.0
Ukraine,Master degree,25-34 years old,7.0,65691.0
Ukraine,Bachelor degree,18-24 years old,3.0,14400.0
United States of America,Less than a Bachelors,25-34 years old,7.0,87500.0
United States of America,Master degree,35-44 years old,19.0,205000.0
United States of America,Bachelor degree,35-44 years old,17.0,250000.0
United States of America,Bachelor degree,45-54 years old,24.0,175000.0
Germany,Bachelor degree,25-34 years old,10.0,95132.0
United States of America,Master degree,35-44 years old,15.0,109000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,45-54 years old,25.0,91215.0
United States of America,Bachelor degree,45-54 years old,7.0,150000.0
United States of America,Post grad,45-54 years old,33.0,99999.0
United States of America,Master degree,35-44 years old,25.0,250000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,15.0,142949.0
Germany,Master degree,35-44 years old,10.0,75410.0
Netherlands,Bachelor degree,35-44 years old,15.0,81210.0
United States of America,Less than a Bachelors,35-44 years old,8.0,151000.0
Netherlands,Bachelor degree,25-34 years old,13.0,83531.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,45-54 years old,20.0,151117.0
Spain,Bachelor degree,35-44 years old,17.0,67289.0
United States of America,Bachelor degree,45-54 years old,26.0,245000.0
United States of America,Bachelor degree,25-34 years old,10.0,150000.0
United Kingdom of Great Britain and Northern Ireland,Master degree,55-64 years old,36.0,115720.0
Canada,Master degree,35-44 years old,15.0,72958.0
United States of America,Bachelor degree,35-44 years old,12.0,116000.0
United States of America,Bachelor degree,35-44 years old,15.0,90000.0
Brazil,Master degree,25-34 years old,15.0,36407.0
Italy,Master degree,35-44 years old,15.0,139218.0
Spain,Bachelor degree,18-24 years old,2.0,25523.0
United Kingdom of Great Britain and Northern Ireland,Bachelor degree,35-44 years old,6.0,81685.0
United States of America,Less than a Bachelors,45-54 years old,26.0,195000.0
Germany,Less than a Bachelors,45-54 years old,26.0,145018.0
United States of America,Master degree,45-54 years old,25.0,155000.0
Canada,Bachelor degree,35-44 years old,15.0,80254.0
Italy,Less than a Bachelors,35-44 years old,17.0,83531.0
Canada,Bachelor degree,25-34 years old,10.0,109438.0
United States of America,Bachelor degree,25-34 years old,6.0,131000.0
United States of America,Bachelor degree,25-34 years old,10.0,120000.0
Netherlands,Bachelor degree,35-44 years old,20.0,15546.0
Germany,Master degree,25-34 years old,10.0,81210.0
Spain,Master degree,25-34 years old,4.0,41765.0
Canada,Bachelor degree,45-54 years old,25.0,71499.0
Canada,Bachelor degree,45-54 years old,22.0,65663.0
Canada,Less than a Bachelors,35-44 years old,16.0,113085.0
Netherlands,Bachelor degree,35-44 years old,13.0,113694.0
United States of America,Bachelor degree,18-24 years old,3.0,80000.0
Italy,Less than a Bachelors,18-24 years old,3.0,39445.0
India,Bachelor degree,25-34 years old,4.0,20109.0
United States of America,Less than a Bachelors,25-34 years old,2.0,87000.0
France,Master degree,18-24 years old,3.0,27844.0
United States of America,Less than a Bachelors,35-44 years old,20.0,185000.0
Germany,Post grad,35-44 years old,8.0,83531.0
United States of America,Bachelor degree,55-64 years old,36.0,150000.0
United States of America,Master degree,35-44 years old,15.0,200000.0
France,Master degree,45-54 years old,30.0,69609.0
Italy,Less than a Bachelors,25-34 years old,2.0,31324.0
Brazil,Master degree,45-54 years old,32.0,91018.0
